Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Summer,2014,28,ACCY,551,9,5,1,5,6,0,0,2,0,0,0,0,0,0,Corporate Income Taxation,"Shaw, Jeffrey M",3.511428571428571
Spring,2019,37,ACCY,202,9,10,0,6,10,0,1,1,0,0,0,0,0,0,Accounting and Accountancy II,"Shapland, Julia P",3.521891891891892
Fall,2013,22,CS,433,3,7,0,1,6,2,0,2,0,0,0,0,1,0,Computer System Organization,"Torrellas, Josep",3.2122727272727274
Spring,2010,55,ADV,493,5,8,8,13,14,1,3,2,0,0,0,1,0,0,Social and Cult Context of Adv,"Ceisel, Christina M",3.2905454545454544
Spring,2019,185,PHYS,102,14,24,24,18,24,17,18,23,11,4,1,7,0,0,College Physics: E&M & Modern,"Willenbrock, Scott S",2.8904324324324326
Fall,2016,23,TE,298,10,4,1,1,2,1,0,3,0,0,0,0,1,0,"Intro Innov, Ldrshp, Eng Entrp","Litchfield, J B",3.3769565217391304
Fall,2020,34,FIN,300,1,9,4,5,5,2,3,1,2,1,1,0,0,0,Financial Markets,"Smith, Mark K",3.1273529411764707
Fall,2011,468,BADM,310,30,104,96,91,65,46,18,11,3,1,2,0,1,0,Mgmt and Organizational Beh,"Love, E G",3.3791666666666664
Summer,2011,22,SHS,321,1,3,2,3,3,2,3,2,2,1,0,0,0,0,American Sign Language III,"Carrington, Edwin H",2.8786363636363634
Fall,2020,25,ECON,532,1,14,7,2,0,1,0,0,0,0,0,0,0,0,Econometric Analysis I,"Bera, Anil K",3.8007999999999997
Spring,2014,22,CS,498,0,11,5,2,3,0,1,0,0,0,0,0,0,0,Using Tech to Solve Adv Probs,"Clifton, Rhiannon L",3.651818181818182
Summer,2012,40,IS,502,2,15,15,7,0,1,0,0,0,0,0,0,0,0,Libraries Info and Society,"Estabrook, Leigh S",3.72575
Fall,2011,61,CHEM,103,0,23,6,14,6,2,2,0,0,2,3,0,3,0,General Chemistry Lab I,"Rankin, Kory M",3.185245901639344
Spring,2022,37,ME,481,8,15,2,3,3,5,1,0,0,0,0,0,0,0,Whole-Body Musculoskel Biomech,"Pei, Yinan",3.6218918918918925
Fall,2019,21,ARTE,202,11,4,5,0,0,0,0,1,0,0,0,0,0,0,Facilitating Art Experience,"Hernandez, Catalina",3.826190476190476
Spring,2022,28,LING,301,3,7,2,5,1,2,3,2,0,1,1,0,1,0,Elements of Syntax,"MacDonald, Jonathan E",3.0589285714285714
Fall,2012,48,THEA,101,35,7,2,0,1,1,0,0,1,0,0,0,1,0,Introduction to Theatre Arts,"Morrissette, Jason W",3.8058333333333327
Spring,2013,59,BADM,589,8,27,8,11,3,0,0,2,0,0,0,0,0,0,Project Management,"Taghaboni-Dutta, Fataneh",3.7116949152542373
Spring,2013,25,KIN,101,1,8,4,6,3,1,1,0,0,0,0,0,0,1,Dance Activities,"Poh, Paula",3.5275
Fall,2011,46,BADM,322,0,4,12,14,8,5,2,1,0,0,0,0,0,0,Marketing Research,"Yuan, Hong",3.2754347826086954
Spring,2010,39,PHIL,202,1,18,2,4,4,6,1,1,0,0,0,0,2,0,Symbolic Logic,"Carmichael, Chad R",3.307948717948718
